HORODATE;SOUS_PROFIL;CATEGORIE;COEFFICIENT_PREPARE;COEFFICIENT_AJUSTE;COEFFICIENT_DYNAMIQUE;INDIC_DISPERS_POIDS_DYN;INDIC_PRECISION_DYN
2024-07-19T00:30:00+02:00;RES1_BASE;Residentiel;0.6352;0.6352;0.631959554;100;100
2024-07-19T02:00:00+02:00;RES1_BASE;Residentiel;0.5525;0.5525;0.544436284;100;100
2024-07-19T04:00:00+02:00;RES1_BASE;Residentiel;0.5197;0.5197;0.502037117;100;100
2024-07-19T07:30:00+02:00;RES1_BASE;Residentiel;0.8524;0.8524;0.690515605;100;100
2024-07-19T08:30:00+02:00;RES1_BASE;Residentiel;0.9033;0.9033;0.770554049;100;100
2024-07-19T12:30:00+02:00;RES1_BASE;Residentiel;1.0938;1.0938;0.956605649;100;100
2024-07-19T15:30:00+02:00;RES1_BASE;Residentiel;0.8886;0.8886;0.83723135;100;100
2024-07-19T18:30:00+02:00;RES1_BASE;Residentiel;1.0334;1.0334;0.997957595;100;100
2024-07-19T19:00:00+02:00;RES1_BASE;Residentiel;1.1162;1.1162;1.034757594;100;100
2024-07-20T01:30:00+02:00;RES1_BASE;Residentiel;0.5821;0.5821;0.594504462;100;100
2024-07-20T03:30:00+02:00;RES1_BASE;Residentiel;0.5198;0.5198;0.532700231;100;100
2024-07-20T04:00:00+02:00;RES1_BASE;Residentiel;0.5076;0.5076;0.519922123;100;100
2024-07-20T11:00:00+02:00;RES1_BASE;Residentiel;1.0594;1.0594;0.937924875;100;100
2024-07-20T12:00:00+02:00;RES1_BASE;Residentiel;1.1911;1.1911;1.047347647;100;100
2024-07-20T13:00:00+02:00;RES1_BASE;Residentiel;1.1365;1.1365;1.03582067;100;100
2024-07-20T21:00:00+02:00;RES1_BASE;Residentiel;1.0759;1.0759;1.015713764;100;100
2024-07-20T22:00:00+02:00;RES1_BASE;Residentiel;1.0369;1.0369;0.937839504;100;100
2024-07-20T22:30:00+02:00;RES1_BASE;Residentiel;0.9616;0.9616;0.906210789;100;100
2024-07-21T01:00:00+02:00;RES1_BASE;Residentiel;0.6186;0.6186;0.6424972;100;100
2024-07-21T02:00:00+02:00;RES1_BASE;Residentiel;0.5687;0.5687;0.591453008;100;100
2024-07-21T06:00:00+02:00;RES1_BASE;Residentiel;0.5241;0.5241;0.529277687;100;100
2024-07-21T08:00:00+02:00;RES1_BASE;Residentiel;0.7743;0.7743;0.693472839;100;100
2024-07-22T02:30:00+02:00;RES1_BASE;Residentiel;0.5302;0.5302;0.515931718;100;100
2024-07-22T03:30:00+02:00;RES1_BASE;Residentiel;0.5084;0.5084;0.495066589;100;100
2024-07-22T04:00:00+02:00;RES1_BASE;Residentiel;0.5093;0.5093;0.497253799;100;100
2024-07-22T09:00:00+02:00;RES1_BASE;Residentiel;0.9224;0.9224;0.782759715;100;100
